refName,displayName,shortIdentifier
urn:cspace:core.collectionspace.org:vocabularies:name(acousticalproperties):item:name(sound_absorption_absorbent)'sound absorption - absorbent',sound absorption - absorbent,sound_absorption_absorbent
urn:cspace:core.collectionspace.org:vocabularies:name(acousticalproperties):item:name(sound_absorption_neutral)'sound absorption - neutral',sound absorption - neutral,sound_absorption_neutral
urn:cspace:core.collectionspace.org:vocabularies:name(acousticalproperties):item:name(sound_absorption_reflective)'sound absorption - reflective',sound absorption - reflective,sound_absorption_reflective
urn:cspace:core.collectionspace.org:vocabularies:name(acousticalproperties):item:name(sound_isolation_conductor)'sound isolation - conductor',sound isolation - conductor,sound_isolation_conductor
urn:cspace:core.collectionspace.org:vocabularies:name(acousticalproperties):item:name(sound_isolation_insulator)'sound isolation - insulator',sound isolation - insulator,sound_isolation_insulator
urn:cspace:core.collectionspace.org:vocabularies:name(acousticalproperties):item:name(sound_isolation_neutral)'sound isolation - neutral',sound isolation - neutral,sound_isolation_neutral
urn:cspace:core.collectionspace.org:vocabularies:name(additionalprocesses):item:name(acetylation)'acetylation',acetylation,acetylation
urn:cspace:core.collectionspace.org:vocabularies:name(additionalprocesses):item:name(casting)'casting',casting,casting
urn:cspace:core.collectionspace.org:vocabularies:name(additionalprocesses):item:name(firing)'firing',firing,firing
urn:cspace:core.collectionspace.org:vocabularies:name(additionalprocesses):item:name(harvesting)'harvesting',harvesting,harvesting
urn:cspace:core.collectionspace.org:vocabularies:name(additionalprocesses):item:name(mixing)'mixing',mixing,mixing
urn:cspace:core.collectionspace.org:vocabularies:name(additionalprocesses):item:name(pigmenting)'pigmenting',pigmenting,pigmenting
urn:cspace:core.collectionspace.org:vocabularies:name(additionalprocesses):item:name(poured_in_place)'poured-in-place',poured-in-place,poured_in_place
urn:cspace:core.collectionspace.org:vocabularies:name(additionalprocesses):item:name(pressure_treating)'pressure treating',pressure treating,pressure_treating
urn:cspace:core.collectionspace.org:vocabularies:name(additionalprocesses):item:name(pyrolysis)'pyrolysis',pyrolysis,pyrolysis
urn:cspace:core.collectionspace.org:vocabularies:name(additionalprocesses):item:name(recycled)'recycled',recycled,recycled
urn:cspace:core.collectionspace.org:vocabularies:name(additionalprocesses):item:name(tanning)'tanning',tanning,tanning
urn:cspace:core.collectionspace.org:vocabularies:name(additionalproperties):item:name(acoustic)'acoustic',acoustic,acoustic
urn:cspace:core.collectionspace.org:vocabularies:name(additionalproperties):item:name(antimicrobial)'antimicrobial',antimicrobial,antimicrobial
urn:cspace:core.collectionspace.org:vocabularies:name(additionalproperties):item:name(ductile)'ductile',ductile,ductile
urn:cspace:core.collectionspace.org:vocabularies:name(additionalproperties):item:name(elastic)'elastic',elastic,elastic
urn:cspace:core.collectionspace.org:vocabularies:name(additionalproperties):item:name(flexible)'flexible',flexible,flexible
urn:cspace:core.collectionspace.org:vocabularies:name(additionalproperties):item:name(hydrophilic)'hydrophilic',hydrophilic,hydrophilic
urn:cspace:core.collectionspace.org:vocabularies:name(additionalproperties):item:name(magnetic)'magnetic',magnetic,magnetic
urn:cspace:core.collectionspace.org:vocabularies:name(additionalproperties):item:name(non_stick)'non-stick',non-stick,non_stick
urn:cspace:core.collectionspace.org:vocabularies:name(additionalproperties):item:name(nutrient_providing)'nutrient-providing',nutrient-providing,nutrient_providing
urn:cspace:core.collectionspace.org:vocabularies:name(additionalproperties):item:name(rot_resistant)'rot resistant',rot resistant,rot_resistant
urn:cspace:core.collectionspace.org:vocabularies:name(additionalproperties):item:name(slip_resistant)'slip resistant',slip resistant,slip_resistant
urn:cspace:core.collectionspace.org:vocabularies:name(additionalproperties):item:name(soluble)'soluble',soluble,soluble
urn:cspace:core.collectionspace.org:vocabularies:name(additionalproperties):item:name(temperature_control)'temperature control',temperature control,temperature_control
urn:cspace:core.collectionspace.org:vocabularies:name(additionalproperties):item:name(water_absorbent)'water absorbent',water absorbent,water_absorbent
urn:cspace:core.collectionspace.org:vocabularies:name(additionalproperties):item:name(water_permeable)'water permeable',water permeable,water_permeable
urn:cspace:core.collectionspace.org:vocabularies:name(addresstype):item:name(business)'business',business,business
urn:cspace:core.collectionspace.org:vocabularies:name(addresstype):item:name(intersection)'intersection',intersection,intersection
urn:cspace:core.collectionspace.org:vocabularies:name(addresstype):item:name(personal)'personal',personal,personal
urn:cspace:core.collectionspace.org:vocabularies:name(addresstype):item:name(streetaddress)'street address',street address,streetaddress
urn:cspace:core.collectionspace.org:vocabularies:name(agentinfotype):item:name(editor)'Editor',Editor,editor
urn:cspace:core.collectionspace.org:vocabularies:name(agentinfotype):item:name(writer)'Writer',Writer,writer
urn:cspace:core.collectionspace.org:vocabularies:name(agequalifier):item:name(approximately)'approximately',approximately,approximately
urn:cspace:core.collectionspace.org:vocabularies:name(agequalifier):item:name(olderthan)'older than',older than,olderthan
urn:cspace:core.collectionspace.org:vocabularies:name(agequalifier):item:name(youngerthan)'younger than',younger than,youngerthan
urn:cspace:core.collectionspace.org:vocabularies:name(publishto):item:name(all)'All',All,all
urn:cspace:core.collectionspace.org:vocabularies:name(publishto):item:name(cultureobject)'Culture Object',Culture Object,cultureobject
urn:cspace:core.collectionspace.org:vocabularies:name(publishto):item:name(dpla)'DPLA',DPLA,dpla
urn:cspace:core.collectionspace.org:vocabularies:name(publishto):item:name(none)'None',None,none
urn:cspace:core.collectionspace.org:vocabularies:name(publishto):item:name(omeka)'Omeka',Omeka,omeka
urn:cspace:core.collectionspace.org:vocabularies:name(castingprocesses):item:name(centrifugal_casting)'centrifugal casting',centrifugal casting,centrifugal_casting
urn:cspace:core.collectionspace.org:vocabularies:name(castingprocesses):item:name(die_casting)'die casting',die casting,die_casting
urn:cspace:core.collectionspace.org:vocabularies:name(castingprocesses):item:name(floating)'floating',floating,floating
urn:cspace:core.collectionspace.org:vocabularies:name(castingprocesses):item:name(investment_casting)'investment casting',investment casting,investment_casting
urn:cspace:core.collectionspace.org:vocabularies:name(castingprocesses):item:name(sand_casting)'sand casting',sand casting,sand_casting
urn:cspace:core.collectionspace.org:vocabularies:name(castingprocesses):item:name(slip_casting)'slip casting',slip casting,slip_casting
urn:cspace:core.collectionspace.org:vocabularies:name(castingprocesses):item:name(slumping)'slumping',slumping,slumping
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermflag):item:name(abbreviation)'abbreviation',abbreviation,abbreviation
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermflag):item:name(ABCStore1556908336486)'ABC Store',ABC Store,ABCStore1556908336486
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermflag):item:name(Brick1556908434558)'Brick',Brick,Brick1556908434558
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermflag):item:name(CAPITALIZATION1556908352890)'CAPITALIZATION',CAPITALIZATION,CAPITALIZATION1556908352890
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermflag):item:name(common)'common term',common term,common
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermflag):item:name(full)'full term',full term,full
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermflag):item:name(Vegetable1556908426147)'Vegetable',Vegetable,Vegetable1556908426147
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(atlas)'Atlas',Atlas,atlas
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(biography)'Biography',Biography,biography
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(birthcert)'Birth certificate',Birth certificate,birthcert
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(brochure)'Brochure',Brochure,brochure
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(conditionreport)'Condition report',Condition report,conditionreport
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(contract)'Contract',Contract,contract
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(criticism)'Criticism',Criticism,criticism
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(diary)'Diary',Diary,diary
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(dictionary)'Dictionary',Dictionary,dictionary
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(dissertation)'Dissertation',Dissertation,dissertation
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(encyclopedia)'Encyclopedia',Encyclopedia,encyclopedia
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(catalog)'Exhibition catalog',Exhibition catalog,catalog
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(exhibitionchecklist)'Exhibition checklist',Exhibition checklist,exhibitionchecklist
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(exhibitionreview)'Exhibition review',Exhibition review,exhibitionreview
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(Festschrift)'Festschrift',Festschrift,Festschrift
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(gazetteer)'Gazetteer',Gazetteer,gazetteer
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(guide)'Guide book',Guide book,guide
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(history)'History',History,history
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(inventory)'Inventory',Inventory,inventory
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(journal)'Journal article',Journal article,journal
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(letter)'Letter',Letter,letter
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(monograph)'Monograph',Monograph,monograph
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(newspaper)'Newspaper article',Newspaper article,newspaper
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(obituary)'Obituary',Obituary,obituary
urn:cspace:core.collectionspace.org:vocabularies:name(citationtermtype):item:name(verbalopinion)'Verbal opinion',Verbal opinion,verbalopinion
urn:cspace:core.collectionspace.org:vocabularies:name(collectionmethod):item:name(borehole)'borehole',borehole,borehole
urn:cspace:core.collectionspace.org:vocabularies:name(collectionmethod):item:name(commissioned)'commissioned',commissioned,commissioned
urn:cspace:core.collectionspace.org:vocabularies:name(collectionmethod):item:name(donation)'donation',donation,donation
urn:cspace:core.collectionspace.org:vocabularies:name(collectionmethod):item:name(excavation)'excavation',excavation,excavation
urn:cspace:core.collectionspace.org:vocabularies:name(collectionmethod):item:name(exchanged)'exchanged',exchanged,exchanged
urn:cspace:core.collectionspace.org:vocabularies:name(collectionmethod):item:name(founddead)'found dead',found dead,founddead
urn:cspace:core.collectionspace.org:vocabularies:name(collectionmethod):item:name(metaldetector)'metal detector',metal detector,metaldetector
urn:cspace:core.collectionspace.org:vocabularies:name(collectionmethod):item:name(netted)'netted',netted,netted
urn:cspace:core.collectionspace.org:vocabularies:name(collectionmethod):item:name(photographed)'photographed',photographed,photographed
urn:cspace:core.collectionspace.org:vocabularies:name(collectionmethod):item:name(purchased)'purchased',purchased,purchased
urn:cspace:core.collectionspace.org:vocabularies:name(collectionmethod):item:name(salvaged)'salvaged',salvaged,salvaged
urn:cspace:core.collectionspace.org:vocabularies:name(collectionmethod):item:name(shot)'shot',shot,shot
urn:cspace:core.collectionspace.org:vocabularies:name(collectionmethod):item:name(trapped)'trapped',trapped,trapped
urn:cspace:core.collectionspace.org:vocabularies:name(concepttermflag):item:name(abbreviation)'abbreviation',abbreviation,abbreviation
