objectNumber,collection,briefDescription,objectName,title,titleType,material,objectProductionDate,objectProductionDateType,dimensionValue,dimension,dimensionMeasurementUnit,objectProductionPerson,objectProductionPersonRole,objectProductionPersonType,owner,owner Type
45106,Albuquerque Public Art,Large scale abstract steel cylinders arranged in a configuration with a wide cylinder placed in the middle.,sculpture (visual work),Almond Blossom Astronomy,cited,stainless steel; steel (alloy); bronze (metal),1986,creation,10,height,feet,David Anderson,artist,person,Albuquerque Public Art,organization
45110,Albuquerque Public Art,"Abstract bus stop artwork made from mixed media including steel, aluminum, and concrete.",sculpture (visual work); architecture (object genre),Formas Esperando Palabra de Otros Mundos,cited,aluminum (metal); steel (alloy); concrete,1983,creation,8,height,feet,Federico Armijo,artist,person,Albuquerque Public Art,organization
45115,Albuquerque Public Art,"Bronze ""stick"" figure with patina in a gestural pose.",sculpture (visual work),Sumer #24,cited,bronze (metal),1999,creation,20,height,feet,Larry Bell,artist,person,Albuquerque Public Art,organization
45119,Albuquerque Public Art,Marble blocks with designs incised upon them with steel tubing protruding from the sides and the ground.,sculpture (visual work),Images,cited,marble (rock); steel (alloy),1988,creation,5,height,feet,Rod Blankley,artist,person,Albuquerque Public Art,organization
45124,Albuquerque Public Art,Carved tree depicting a pack of howling wolves.,sculpture (visual work),The Hounds of Enchantment,cited,wood (plant material),1998,creation,9,height,feet,Peter Broussard,artist,person,Albuquerque Public Art,organization
45127,Albuquerque Public Art,Hand-carved wood dais and seals along the base of the city council stage in the city council chambers.,carvings (visual works),Carved Wood Dais,cited,wood (plant material),1996,creation,3,height,feet,Max Chavez,artist,person,Albuquerque Public Art,organization
45131,Albuquerque Public Art,"Large hand-dyed wool tapestry with geometric designs, bars and curving linear forms.",fiber art,Runways,cited,wool (hair),1988,creation,6,height,feet,Nancy Kozikowski,artist,person,Albuquerque Public Art,organization
45133,Albuquerque Public Art,Large hand-dyed wool tapestry with geometric designs and image of a river landscape.,fiber art,Triptych,cited,wool (hair),1902,creation,6,height,feet,Donna Contractor,artist,person,Albuquerque Public Art,organization
45142,Albuquerque Public Art,Poem about animal care and advice that has been cast in Signature Stone with cat and dog designs along the border.,casts (sculpture),Kindred Spirit,cited,concrete,1995,creation,47,height,inches,Lou Cuevas,artist,person,Albuquerque Public Art,organization
45145,Albuquerque Public Art,Large steel sculpture arch with vertical blocks cut out of the sides that help it serve as a sundial.,sculpture (visual work); architecture (object genre),Solar Arc,cited,steel (alloy),1985,creation,16,height,feet,William Drexel;O.K. Harris,artist;artist,person;person,Albuquerque Public Art,organization
45150,Albuquerque Public Art,Painted steel cylinders set on triangular cement base in gravel patio area. Abstract design with a range of cylinder sizes.,sculpture (visual work),Interweave,cited,steel (alloy),1984,creation,14,height,feet,C. Anthony Eck,artist,person,Albuquerque Public Art,organization
45154,Albuquerque Public Art,Abstract steel sculpture tower with various interweaving parts.,sculpture (visual work),Hand of Friendship,cited,steel (alloy),1962,creation,24,height,feet,Ted Egri,artist,person,Albuquerque Public Art,organization
45158,Albuquerque Public Art,"Sculptural abstract wall relief with painted wood panels and neon elements, protected by a plexiglass shield.",sculpture (visual work),Presto,cited,acrylic paint; wood (plant material); neon,1984,creation,7,height,feet,Jeanette Entwisle,artist,person,Albuquerque Public Art,organization
45161,Albuquerque Public Art,Adobe and wood bus shelter that utilizes curvilinear forms and traditional materials to create a shady resting spot.,benches (furniture); sculpture (visual work); architecture (object genre),Las Mesas,cited,stucco; adobe,1984,creation,6,height,feet,Tommie Findley,artist,person,Albuquerque Public Art,organization
