movementReferenceNumber,currentLocation,Location date,Relationship,currentLocationNote,movementNote
LOC.PAA.7777,Osuna Median between Jefferson and W.Frontage Rd,1986,45106,
LOC.PAA.7607,"Old Town, Lomas & 16th St. NW",1983,45110,
LOC.PAA.8585,Quigley Park,1999,45115,
LOC.PAA.3831,Emerson School / John Carillo Park,1988,45119,
LOC.PAA.6509,Matheson Park,1998,45124,
LOC.PAA.519,Albuquerque City/County Government Building,1996,45127,
LOC.PAA.743,Albuquerque International Airport Main Terminal,1988,45131,
LOC.PAA.520,Albuquerque City/County Government Building,1902,45133,
LOC.PAA.12485,Westside Animal Control Center,1995,45142,
LOC.PAA.254,4-H Park,1985,45145,
LOC.PAA.3604,East Central Multi-Service Center,1984,45150,
LOC.PAA.11025,Tramway and Central,1962,45154,
LOC.PAA.327,5th and Copper NW Parking Structure,1984,45158,
LOC.PAA.6090,Lomas Pedestrianway,1984,45161,
LOC.PAA.866,Albuquerque Museum,1990,45166,
LOC.PAA.9711,Santa Barbara/Martineztown Community Center,1902,45171,
LOC.PAA.9712,Santa Barbara/Martineztown Community Center,1992,45173,
LOC.PAA.9713,Santa Barbara/Martineztown Community Center,1992,45175,
LOC.PAA.9714,Santa Barbara/Martineztown Community Center,1992,45177,
LOC.PAA.9715,Santa Barbara/Martineztown Community Center,1992,45179,
LOC.PAA.9716,Santa Barbara/Martineztown Community Center,1992,45181,
LOC.PAA.9717,Santa Barbara/Martineztown Community Center,1992,45183,
LOC.PAA.9718,Santa Barbara/Martineztown Community Center,1992,45185,
LOC.PAA.9719,Santa Barbara/Martineztown Community Center,1992,45187,
LOC.PAA.9720,Santa Barbara/Martineztown Community Center,1992,45189,
LOC.PAA.9721,Santa Barbara/Martineztown Community Center,1992,45191,
LOC.PAA.9722,Santa Barbara/Martineztown Community Center,1992,45193,
LOC.PAA.9723,Santa Barbara/Martineztown Community Center,1992,45195,
LOC.PAA.9724,Santa Barbara/Martineztown Community Center,1992,45197,
LOC.PAA.9725,Santa Barbara/Martineztown Community Center,1992,45199,
LOC.PAA.7438,North Valley Senior Center,1994,45201,
LOC.PAA.7439,North Valley Senior Center,1994,45203,
LOC.PAA.7440,North Valley Senior Center,1994,45205,
LOC.PAA.7441,North Valley Senior Center,1994,45207,
LOC.PAA.7442,North Valley Senior Center,1994,45209,
LOC.PAA.7443,North Valley Senior Center,1994,45211,
LOC.PAA.5141,Hyatt Hotel Building (sidewalk),1991,45213,
LOC.PAA.9726,Santa Barbara/Martineztown Community Center,1990,45219,
LOC.PAA.8811,Rio Grande Zoological Park,1993,45221,
LOC.PAA.7608,"Old Town, Central and San Felipe NW",1989,45226,
