identificationNumber,Relationship,title,blob_uri,externalURL,rightsHolder_org,rightsHolder_person,publishTo
MR.ALBQ.001,59757,Communications Center Photo Panel-Call Center,http://www.publicartarchive.org/sites/default/files/625.03.jpeg,,,Karen Mazur,Public Art Archive
MR.ALBQ.002,59759,Untitled,http://www.publicartarchive.org/sites/default/files/524_01.jpg,,Albuquerque Public Art,,Public Art Archive
MR.ALBQ.003,45106,Almond Blossom Astronomy,http://www.publicartarchive.org/sites/default/files/101_01.jpg,,,David Anderson,Public Art Archive
MR.ALBQ.005,45106,Almond Blossom Astronomy,http://www.publicartarchive.org/sites/default/files/101_03.jpg,,,David Anderson,Public Art Archive
MR.ALBQ.006,45110,Formas Esperando Palabra de Otros Mundos,http://www.publicartarchive.org/sites/default/files/102_01.jpg,,,Federico Armijo,Public Art Archive
MR.ALBQ.007,45110,Formas Esperando Palabra de Otros Mundos,http://www.publicartarchive.org/sites/default/files/102_02.jpg,,,Federico Armijo,Public Art Archive
MR.ALBQ.008,45110,Formas Esperando Palabra de Otros Mundos,http://www.publicartarchive.org/sites/default/files/102_03.jpg,,,Federico Armijo,Public Art Archive
MR.ALBQ.009,45110,Formas Esperando Palabra de Otros Mundos,http://www.publicartarchive.org/sites/default/files/102_04.jpg,,,Federico Armijo,Public Art Archive
MR.ALBQ.010,45115,Sumer #24,http://www.publicartarchive.org/sites/default/files/104_01.jpg,,,Larry Bell,Public Art Archive
MR.ALBQ.011,45115,Sumer #24,http://www.publicartarchive.org/sites/default/files/104_02.jpg,,,Larry Bell,Public Art Archive
MR.ALBQ.012,45115,Sumer #24,http://www.publicartarchive.org/sites/default/files/104_03.jpg,,,Larry Bell,Public Art Archive
MR.ALBQ.013,45119,Images,http://www.publicartarchive.org/sites/default/files/105_01.jpg,,,Rod Blankley,Public Art Archive
MR.ALBQ.014,45119,Images,http://www.publicartarchive.org/sites/default/files/105_02.jpg,,,Rod Blankley,Public Art Archive
MR.ALBQ.015,45119,Images,http://www.publicartarchive.org/sites/default/files/105_03.jpg,,,Rod Blankley,Public Art Archive
MR.ALBQ.016,45119,Images,http://www.publicartarchive.org/sites/default/files/105_04.jpg,,,Rod Blankley,Public Art Archive
MR.ALBQ.017,45124,The Hounds of Enchantment,http://www.publicartarchive.org/sites/default/files/106_01.jpg,,,Peter Broussard,Public Art Archive
MR.ALBQ.018,45124,The Hounds of Enchantment,http://www.publicartarchive.org/sites/default/files/106_02.jpg,,,Peter Broussard,Public Art Archive
MR.ALBQ.019,45127,Carved Wood Dais,http://www.publicartarchive.org/sites/default/files/107_01.jpg,,,Max Chavez,Public Art Archive
